,,Overall,,Col NM: All Enterococcus
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,13,,256
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,3,5.88%,48,94.12%,
Age,6 to <11,74,27.51%,6,8.11%,68,91.89%,
Age,11 to <15,58,21.56%,3,5.17%,55,94.83%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,7,4.86%,137,95.14%,
Sex,Male,125,46.47%,6,4.8%,119,95.2%,
Circumcision,Circumcised,19,7.06%,1,5.26%,18,94.74%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,5,6.85%,68,93.15%,
Race,White,145,53.9%,13,8.97%,132,91.03%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,0,0.0%,84,100.0%,
Ethnicity/Race,Hispanic,85,31.6%,0,0.0%,85,100.0%,
Ethnicity/Race,nonHispanic,184,68.4%,13,7.07%,171,92.93%,
Etiology,Myelomeningocele,154,57.25%,6,3.9%,148,96.1%,
Etiology,Fatt,47,17.47%,1,2.13%,46,97.87%,
Etiology,Other,68,25.28%,6,8.82%,62,91.18%,
Hx Augmentation,Yes,25,9.29%,0,0.0%,25,100.0%,
Hx Augmentation,No,244,90.71%,13,5.33%,231,94.67%,
Hx Catheterizable Channel,Yes,34,12.64%,4,11.76%,30,88.24%,
Hx Catheterizable Channel,No,235,87.36%,9,3.83%,226,96.17%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,4,9.52%,38,90.48%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,9,3.96%,218,96.04%,
Immunosuppression,Yes,8,2.97%,1,12.5%,7,87.5%,
Immunosuppression,No,261,97.03%,12,4.6%,249,95.4%,
Overnight Foley,Yes,29,10.78%,1,3.45%,28,96.55%,
Overnight Foley,No,240,89.22%,12,5.0%,228,95.0%,
Recent UTI,Yes,33,12.27%,5,15.15%,28,84.85%,
Recent UTI,No,233,86.62%,7,3.0%,226,97.0%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
VUR (most recent test),Yes,44,16.36%,1,2.27%,43,97.73%,
VUR (most recent test),No,225,83.64%,12,5.33%,213,94.67%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,2,2.02%,97,97.98%,
Hydronephrosis (Most Recent Test),No,170,63.2%,11,6.47%,159,93.53%,
Hydronephrosis (grade),mild,58,21.56%,1,1.72%,57,98.28%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,1,3.33%,29,96.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,13,4.83%,256,95.17%,
