,,Overall,,Col NN: All Klebsiella
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,32,,237
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,5,9.8%,46,90.2%,
Age,6 to <11,74,27.51%,7,9.46%,67,90.54%,
Age,11 to <15,58,21.56%,7,12.07%,51,87.93%,
Age,15 to <18,32,11.9%,5,15.63%,27,84.38%,
Age,18 and older,43,15.99%,7,16.28%,36,83.72%,
Sex,Female,144,53.53%,19,13.19%,125,86.81%,
Sex,Male,125,46.47%,13,10.4%,112,89.6%,
Circumcision,Circumcised,19,7.06%,4,21.05%,15,78.95%,
Circumcision,Uncircumcised,33,12.27%,2,6.06%,31,93.94%,
Circumcision,Unknown,73,27.14%,7,9.59%,66,90.41%,
Race,White,145,53.9%,17,11.72%,128,88.28%,
Race,Black/African,28,10.41%,8,28.57%,20,71.43%,
Race,Asian,12,4.46%,2,16.67%,10,83.33%,
Race,Other,84,31.23%,5,5.95%,79,94.05%,
Ethnicity/Race,Hispanic,85,31.6%,5,5.88%,80,94.12%,
Ethnicity/Race,nonHispanic,184,68.4%,27,14.67%,157,85.33%,
Etiology,Myelomeningocele,154,57.25%,17,11.04%,137,88.96%,
Etiology,Fatt,47,17.47%,3,6.38%,44,93.62%,
Etiology,Other,68,25.28%,12,17.65%,56,82.35%,
Hx Augmentation,Yes,25,9.29%,6,24.0%,19,76.0%,
Hx Augmentation,No,244,90.71%,26,10.66%,218,89.34%,
Hx Catheterizable Channel,Yes,34,12.64%,9,26.47%,25,73.53%,
Hx Catheterizable Channel,No,235,87.36%,23,9.79%,212,90.21%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,9,21.43%,33,78.57%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,23,10.13%,204,89.87%,
Immunosuppression,Yes,8,2.97%,0,0.0%,8,100.0%,
Immunosuppression,No,261,97.03%,32,12.26%,229,87.74%,
Overnight Foley,Yes,29,10.78%,6,20.69%,23,79.31%,
Overnight Foley,No,240,89.22%,26,10.83%,214,89.17%,
Recent UTI,Yes,33,12.27%,4,12.12%,29,87.88%,
Recent UTI,No,233,86.62%,28,12.02%,205,87.98%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
Antibiotic Prophylaxis,Yes,72,26.77%,10,13.89%,62,86.11%,
Antibiotic Prophylaxis,No,197,73.23%,22,11.17%,175,88.83%,
VUR (most recent test),Yes,44,16.36%,8,18.18%,36,81.82%,
VUR (most recent test),No,225,83.64%,24,10.67%,201,89.33%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,1,6.67%,14,93.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,7,25.0%,21,75.0%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,17,17.17%,82,82.83%,
Hydronephrosis (Most Recent Test),No,170,63.2%,15,8.82%,155,91.18%,
Hydronephrosis (grade),mild,58,21.56%,8,13.79%,50,86.21%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,6,20.0%,24,80.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,3,27.27%,8,72.73%,
Sum,Sum,269,100.0%,32,11.9%,237,88.1%,
