,,Overall,,Col NR: All Multiple
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,7,,262
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,1,1.96%,50,98.04%,
Age,6 to <11,74,27.51%,3,4.05%,71,95.95%,
Age,11 to <15,58,21.56%,1,1.72%,57,98.28%,
Age,15 to <18,32,11.9%,2,6.25%,30,93.75%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,2,1.39%,142,98.61%,
Sex,Male,125,46.47%,5,4.0%,120,96.0%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,2,6.06%,31,93.94%,
Circumcision,Unknown,73,27.14%,3,4.11%,70,95.89%,
Race,White,145,53.9%,5,3.45%,140,96.55%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,2,2.38%,82,97.62%,
Ethnicity/Race,Hispanic,85,31.6%,2,2.35%,83,97.65%,
Ethnicity/Race,nonHispanic,184,68.4%,5,2.72%,179,97.28%,
Etiology,Myelomeningocele,154,57.25%,4,2.6%,150,97.4%,
Etiology,Fatt,47,17.47%,1,2.13%,46,97.87%,
Etiology,Other,68,25.28%,2,2.94%,66,97.06%,
Hx Augmentation,Yes,25,9.29%,3,12.0%,22,88.0%,
Hx Augmentation,No,244,90.71%,4,1.64%,240,98.36%,
Hx Catheterizable Channel,Yes,34,12.64%,3,8.82%,31,91.18%,
Hx Catheterizable Channel,No,235,87.36%,4,1.7%,231,98.3%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,3,7.14%,39,92.86%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,4,1.76%,223,98.24%,
Immunosuppression,Yes,8,2.97%,0,0.0%,8,100.0%,
Immunosuppression,No,261,97.03%,7,2.68%,254,97.32%,
Overnight Foley,Yes,29,10.78%,2,6.9%,27,93.1%,
Overnight Foley,No,240,89.22%,5,2.08%,235,97.92%,
Recent UTI,Yes,33,12.27%,1,3.03%,32,96.97%,
Recent UTI,No,233,86.62%,6,2.58%,227,97.42%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (most recent test),Yes,44,16.36%,1,2.27%,43,97.73%,
VUR (most recent test),No,225,83.64%,6,2.67%,219,97.33%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,1,3.57%,27,96.43%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,3,3.03%,96,96.97%,
Hydronephrosis (Most Recent Test),No,170,63.2%,4,2.35%,166,97.65%,
Hydronephrosis (grade),mild,58,21.56%,2,3.45%,56,96.55%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,1,3.33%,29,96.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,7,2.6%,262,97.4%,
