,,Overall,,Col NP: All Multiple-Other Organism
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,49,,220
Age,<1yr,11,4.09%,2,18.18%,9,81.82%,
Age,1 to <6,51,18.96%,7,13.73%,44,86.27%,
Age,6 to <11,74,27.51%,13,17.57%,61,82.43%,
Age,11 to <15,58,21.56%,11,18.97%,47,81.03%,
Age,15 to <18,32,11.9%,7,21.88%,25,78.13%,
Age,18 and older,43,15.99%,9,20.93%,34,79.07%,
Sex,Female,144,53.53%,25,17.36%,119,82.64%,
Sex,Male,125,46.47%,24,19.2%,101,80.8%,
Circumcision,Circumcised,19,7.06%,1,5.26%,18,94.74%,
Circumcision,Uncircumcised,33,12.27%,7,21.21%,26,78.79%,
Circumcision,Unknown,73,27.14%,16,21.92%,57,78.08%,
Race,White,145,53.9%,25,17.24%,120,82.76%,
Race,Black/African,28,10.41%,8,28.57%,20,71.43%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,16,19.05%,68,80.95%,
Ethnicity/Race,Hispanic,85,31.6%,15,17.65%,70,82.35%,
Ethnicity/Race,nonHispanic,184,68.4%,34,18.48%,150,81.52%,
Etiology,Myelomeningocele,154,57.25%,30,19.48%,124,80.52%,
Etiology,Fatt,47,17.47%,5,10.64%,42,89.36%,
Etiology,Other,68,25.28%,14,20.59%,54,79.41%,
Hx Augmentation,Yes,25,9.29%,10,40.0%,15,60.0%,
Hx Augmentation,No,244,90.71%,39,15.98%,205,84.02%,
Hx Catheterizable Channel,Yes,34,12.64%,13,38.24%,21,61.76%,
Hx Catheterizable Channel,No,235,87.36%,36,15.32%,199,84.68%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,15,35.71%,27,64.29%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,34,14.98%,193,85.02%,
Immunosuppression,Yes,8,2.97%,2,25.0%,6,75.0%,
Immunosuppression,No,261,97.03%,47,18.01%,214,81.99%,
Overnight Foley,Yes,29,10.78%,7,24.14%,22,75.86%,
Overnight Foley,No,240,89.22%,42,17.5%,198,82.5%,
Recent UTI,Yes,33,12.27%,4,12.12%,29,87.88%,
Recent UTI,No,233,86.62%,45,19.31%,188,80.69%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
Antibiotic Prophylaxis,Yes,72,26.77%,12,16.67%,60,83.33%,
Antibiotic Prophylaxis,No,197,73.23%,37,18.78%,160,81.22%,
VUR (most recent test),Yes,44,16.36%,9,20.45%,35,79.55%,
VUR (most recent test),No,225,83.64%,40,17.78%,185,82.22%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,3,20.0%,12,80.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,6,21.43%,22,78.57%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,20,20.2%,79,79.8%,
Hydronephrosis (Most Recent Test),No,170,63.2%,29,17.06%,141,82.94%,
Hydronephrosis (grade),mild,58,21.56%,11,18.97%,47,81.03%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,7,23.33%,23,76.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,2,18.18%,9,81.82%,
Sum,Sum,269,100.0%,49,18.22%,220,81.78%,
