,,Overall,,Col NQ: All Not EColi
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,112,,157
Age,<1yr,11,4.09%,4,36.36%,7,63.64%,
Age,1 to <6,51,18.96%,13,25.49%,38,74.51%,
Age,6 to <11,74,27.51%,36,48.65%,38,51.35%,
Age,11 to <15,58,21.56%,25,43.1%,33,56.9%,
Age,15 to <18,32,11.9%,18,56.25%,14,43.75%,
Age,18 and older,43,15.99%,16,37.21%,27,62.79%,
Sex,Female,144,53.53%,54,37.5%,90,62.5%,
Sex,Male,125,46.47%,58,46.4%,67,53.6%,
Circumcision,Circumcised,19,7.06%,10,52.63%,9,47.37%,
Circumcision,Uncircumcised,33,12.27%,9,27.27%,24,72.73%,
Circumcision,Unknown,73,27.14%,39,53.42%,34,46.58%,
Race,White,145,53.9%,67,46.21%,78,53.79%,
Race,Black/African,28,10.41%,16,57.14%,12,42.86%,
Race,Asian,12,4.46%,3,25.0%,9,75.0%,
Race,Other,84,31.23%,26,30.95%,58,69.05%,
Ethnicity/Race,Hispanic,85,31.6%,24,28.24%,61,71.76%,
Ethnicity/Race,nonHispanic,184,68.4%,88,47.83%,96,52.17%,
Etiology,Myelomeningocele,154,57.25%,60,38.96%,94,61.04%,
Etiology,Fatt,47,17.47%,14,29.79%,33,70.21%,
Etiology,Other,68,25.28%,38,55.88%,30,44.12%,
Hx Augmentation,Yes,25,9.29%,17,68.0%,8,32.0%,
Hx Augmentation,No,244,90.71%,95,38.93%,149,61.07%,
Hx Catheterizable Channel,Yes,34,12.64%,30,88.24%,4,11.76%,
Hx Catheterizable Channel,No,235,87.36%,82,34.89%,153,65.11%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,32,76.19%,10,23.81%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,80,35.24%,147,64.76%,
Immunosuppression,Yes,8,2.97%,4,50.0%,4,50.0%,
Immunosuppression,No,261,97.03%,108,41.38%,153,58.62%,
Overnight Foley,Yes,29,10.78%,16,55.17%,13,44.83%,
Overnight Foley,No,240,89.22%,96,40.0%,144,60.0%,
Recent UTI,Yes,33,12.27%,17,51.52%,16,48.48%,
Recent UTI,No,233,86.62%,94,40.34%,139,59.66%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,30,41.67%,42,58.33%,
Antibiotic Prophylaxis,No,197,73.23%,82,41.62%,115,58.38%,
VUR (most recent test),Yes,44,16.36%,22,50.0%,22,50.0%,
VUR (most recent test),No,225,83.64%,90,40.0%,135,60.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,6,40.0%,9,60.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,15,53.57%,13,46.43%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,44,44.44%,55,55.56%,
Hydronephrosis (Most Recent Test),No,170,63.2%,68,40.0%,102,60.0%,
Hydronephrosis (grade),mild,58,21.56%,22,37.93%,36,62.07%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,15,50.0%,15,50.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,7,63.64%,4,36.36%,
Sum,Sum,269,100.0%,112,41.64%,157,58.36%,
