,,Overall,,Col NT: All Resistances Nitrofurantoin
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,39,,230
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,3,5.88%,48,94.12%,
Age,6 to <11,74,27.51%,8,10.81%,66,89.19%,
Age,11 to <15,58,21.56%,13,22.41%,45,77.59%,
Age,15 to <18,32,11.9%,6,18.75%,26,81.25%,
Age,18 and older,43,15.99%,8,18.6%,35,81.4%,
Sex,Female,144,53.53%,22,15.28%,122,84.72%,
Sex,Male,125,46.47%,17,13.6%,108,86.4%,
Circumcision,Circumcised,19,7.06%,3,15.79%,16,84.21%,
Circumcision,Uncircumcised,33,12.27%,3,9.09%,30,90.91%,
Circumcision,Unknown,73,27.14%,11,15.07%,62,84.93%,
Race,White,145,53.9%,24,16.55%,121,83.45%,
Race,Black/African,28,10.41%,4,14.29%,24,85.71%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,10,11.9%,74,88.1%,
Ethnicity/Race,Hispanic,85,31.6%,11,12.94%,74,87.06%,
Ethnicity/Race,nonHispanic,184,68.4%,28,15.22%,156,84.78%,
Etiology,Myelomeningocele,154,57.25%,24,15.58%,130,84.42%,
Etiology,Fatt,47,17.47%,2,4.26%,45,95.74%,
Etiology,Other,68,25.28%,13,19.12%,55,80.88%,
Hx Augmentation,Yes,25,9.29%,5,20.0%,20,80.0%,
Hx Augmentation,No,244,90.71%,34,13.93%,210,86.07%,
Hx Catheterizable Channel,Yes,34,12.64%,9,26.47%,25,73.53%,
Hx Catheterizable Channel,No,235,87.36%,30,12.77%,205,87.23%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,11,26.19%,31,73.81%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,28,12.33%,199,87.67%,
Immunosuppression,Yes,8,2.97%,3,37.5%,5,62.5%,
Immunosuppression,No,261,97.03%,36,13.79%,225,86.21%,
Overnight Foley,Yes,29,10.78%,7,24.14%,22,75.86%,
Overnight Foley,No,240,89.22%,32,13.33%,208,86.67%,
Recent UTI,Yes,33,12.27%,5,15.15%,28,84.85%,
Recent UTI,No,233,86.62%,33,14.16%,200,85.84%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,18,25.0%,54,75.0%,
Antibiotic Prophylaxis,No,197,73.23%,21,10.66%,176,89.34%,
VUR (most recent test),Yes,44,16.36%,12,27.27%,32,72.73%,
VUR (most recent test),No,225,83.64%,27,12.0%,198,88.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,5,33.33%,10,66.67%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,6,21.43%,22,78.57%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,13,13.13%,86,86.87%,
Hydronephrosis (Most Recent Test),No,170,63.2%,26,15.29%,144,84.71%,
Hydronephrosis (grade),mild,58,21.56%,7,12.07%,51,87.93%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,6,20.0%,24,80.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,39,14.5%,230,85.5%,
