,,Overall,,Col NU: All Resistances Tetracycline
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,54,,215
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,8,15.69%,43,84.31%,
Age,6 to <11,74,27.51%,12,16.22%,62,83.78%,
Age,11 to <15,58,21.56%,13,22.41%,45,77.59%,
Age,15 to <18,32,11.9%,8,25.0%,24,75.0%,
Age,18 and older,43,15.99%,13,30.23%,30,69.77%,
Sex,Female,144,53.53%,35,24.31%,109,75.69%,
Sex,Male,125,46.47%,19,15.2%,106,84.8%,
Circumcision,Circumcised,19,7.06%,4,21.05%,15,78.95%,
Circumcision,Uncircumcised,33,12.27%,3,9.09%,30,90.91%,
Circumcision,Unknown,73,27.14%,12,16.44%,61,83.56%,
Race,White,145,53.9%,21,14.48%,124,85.52%,
Race,Black/African,28,10.41%,8,28.57%,20,71.43%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,24,28.57%,60,71.43%,
Ethnicity/Race,Hispanic,85,31.6%,23,27.06%,62,72.94%,
Ethnicity/Race,nonHispanic,184,68.4%,31,16.85%,153,83.15%,
Etiology,Myelomeningocele,154,57.25%,36,23.38%,118,76.62%,
Etiology,Fatt,47,17.47%,7,14.89%,40,85.11%,
Etiology,Other,68,25.28%,11,16.18%,57,83.82%,
Hx Augmentation,Yes,25,9.29%,6,24.0%,19,76.0%,
Hx Augmentation,No,244,90.71%,48,19.67%,196,80.33%,
Hx Catheterizable Channel,Yes,34,12.64%,8,23.53%,26,76.47%,
Hx Catheterizable Channel,No,235,87.36%,46,19.57%,189,80.43%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,10,23.81%,32,76.19%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,44,19.38%,183,80.62%,
Immunosuppression,Yes,8,2.97%,2,25.0%,6,75.0%,
Immunosuppression,No,261,97.03%,52,19.92%,209,80.08%,
Overnight Foley,Yes,29,10.78%,5,17.24%,24,82.76%,
Overnight Foley,No,240,89.22%,49,20.42%,191,79.58%,
Recent UTI,Yes,33,12.27%,5,15.15%,28,84.85%,
Recent UTI,No,233,86.62%,48,20.6%,185,79.4%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,18,25.0%,54,75.0%,
Antibiotic Prophylaxis,No,197,73.23%,36,18.27%,161,81.73%,
VUR (most recent test),Yes,44,16.36%,9,20.45%,35,79.55%,
VUR (most recent test),No,225,83.64%,45,20.0%,180,80.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,4,26.67%,11,73.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,5,17.86%,23,82.14%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,21,21.21%,78,78.79%,
Hydronephrosis (Most Recent Test),No,170,63.2%,33,19.41%,137,80.59%,
Hydronephrosis (grade),mild,58,21.56%,13,22.41%,45,77.59%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,7,23.33%,23,76.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,1,9.09%,10,90.91%,
Sum,Sum,269,100.0%,54,20.07%,215,79.93%,
