,,Overall,,Col NO: All Staphylococcus
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,15,,254
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,0,0.0%,51,100.0%,
Age,6 to <11,74,27.51%,8,10.81%,66,89.19%,
Age,11 to <15,58,21.56%,3,5.17%,55,94.83%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,2,4.65%,41,95.35%,
Sex,Female,144,53.53%,3,2.08%,141,97.92%,
Sex,Male,125,46.47%,12,9.6%,113,90.4%,
Circumcision,Circumcised,19,7.06%,4,21.05%,15,78.95%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,8,10.96%,65,89.04%,
Race,White,145,53.9%,8,5.52%,137,94.48%,
Race,Black/African,28,10.41%,2,7.14%,26,92.86%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,5,5.95%,79,94.05%,
Ethnicity/Race,Hispanic,85,31.6%,4,4.71%,81,95.29%,
Ethnicity/Race,nonHispanic,184,68.4%,11,5.98%,173,94.02%,
Etiology,Myelomeningocele,154,57.25%,9,5.84%,145,94.16%,
Etiology,Fatt,47,17.47%,3,6.38%,44,93.62%,
Etiology,Other,68,25.28%,3,4.41%,65,95.59%,
Hx Augmentation,Yes,25,9.29%,0,0.0%,25,100.0%,
Hx Augmentation,No,244,90.71%,15,6.15%,229,93.85%,
Hx Catheterizable Channel,Yes,34,12.64%,1,2.94%,33,97.06%,
Hx Catheterizable Channel,No,235,87.36%,14,5.96%,221,94.04%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,1,2.38%,41,97.62%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,14,6.17%,213,93.83%,
Immunosuppression,Yes,8,2.97%,0,0.0%,8,100.0%,
Immunosuppression,No,261,97.03%,15,5.75%,246,94.25%,
Overnight Foley,Yes,29,10.78%,0,0.0%,29,100.0%,
Overnight Foley,No,240,89.22%,15,6.25%,225,93.75%,
Recent UTI,Yes,33,12.27%,3,9.09%,30,90.91%,
Recent UTI,No,233,86.62%,12,5.15%,221,94.85%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
Antibiotic Prophylaxis,Yes,72,26.77%,3,4.17%,69,95.83%,
Antibiotic Prophylaxis,No,197,73.23%,12,6.09%,185,93.91%,
VUR (most recent test),Yes,44,16.36%,4,9.09%,40,90.91%,
VUR (most recent test),No,225,83.64%,11,4.89%,214,95.11%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,3,20.0%,12,80.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,1,3.57%,27,96.43%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,3,3.03%,96,96.97%,
Hydronephrosis (Most Recent Test),No,170,63.2%,12,7.06%,158,92.94%,
Hydronephrosis (grade),mild,58,21.56%,1,1.72%,57,98.28%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,1,3.33%,29,96.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,1,9.09%,10,90.91%,
Sum,Sum,269,100.0%,15,5.58%,254,94.42%,
