,,Overall,,Col MF: Augmentin
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,2,,267
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,0,0.0%,51,100.0%,
Age,6 to <11,74,27.51%,0,0.0%,74,100.0%,
Age,11 to <15,58,21.56%,1,1.72%,57,98.28%,
Age,15 to <18,32,11.9%,0,0.0%,32,100.0%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,2,1.39%,142,98.61%,
Sex,Male,125,46.47%,0,0.0%,125,100.0%,
Race,White,145,53.9%,0,0.0%,145,100.0%,
Race,Black/African,28,10.41%,1,3.57%,27,96.43%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,1,1.19%,83,98.81%,
Ethnicity/Race,Hispanic,85,31.6%,1,1.18%,84,98.82%,
Ethnicity/Race,nonHispanic,184,68.4%,1,0.54%,183,99.46%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,0,0.0%,73,100.0%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,0,0.0%,169,100.0%,
Hydronephrosis (Most Recent Test,No,77,28.62%,1,1.3%,76,98.7%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,1,4.35%,22,95.65%,
Hx Augmentation,Yes,24,8.92%,0,0.0%,24,100.0%,
Hx Augmentation,No,245,91.08%,2,0.82%,243,99.18%,
Hx Catheterizable Channel,Yes,34,12.64%,0,0.0%,34,100.0%,
Hx Catheterizable Channel,No,235,87.36%,2,0.85%,233,99.15%,
Recent UTI,Yes,33,12.27%,2,6.06%,31,93.94%,
Recent UTI,No,233,86.62%,0,0.0%,233,100.0%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
VUR (most recent test,Yes,44,16.36%,0,0.0%,44,100.0%,
VUR (most recent test,No,225,83.64%,2,0.89%,223,99.11%,
Etiology,Myelomeningocele,154,57.25%,0,0.0%,154,100.0%,
Etiology,Fatt,47,17.47%,0,0.0%,47,100.0%,
Etiology,Other,68,25.28%,2,2.94%,66,97.06%,
Sum,Sum,269,100.0%,2,0.74%,267,99.26%,
