,,Overall,,Col MH: Cephalexin
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,5,,264
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,1,1.96%,50,98.04%,
Age,6 to <11,74,27.51%,3,4.05%,71,95.95%,
Age,11 to <15,58,21.56%,1,1.72%,57,98.28%,
Age,15 to <18,32,11.9%,0,0.0%,32,100.0%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,4,2.78%,140,97.22%,
Sex,Male,125,46.47%,1,0.8%,124,99.2%,
Race,White,145,53.9%,5,3.45%,140,96.55%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,0,0.0%,84,100.0%,
Ethnicity/Race,Hispanic,85,31.6%,0,0.0%,85,100.0%,
Ethnicity/Race,nonHispanic,184,68.4%,5,2.72%,179,97.28%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,1,1.37%,72,98.63%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,3,1.78%,166,98.22%,
Hydronephrosis (Most Recent Test,No,77,28.62%,1,1.3%,76,98.7%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,1,4.35%,22,95.65%,
Hx Augmentation,Yes,24,8.92%,0,0.0%,24,100.0%,
Hx Augmentation,No,245,91.08%,5,2.04%,240,97.96%,
Hx Catheterizable Channel,Yes,34,12.64%,0,0.0%,34,100.0%,
Hx Catheterizable Channel,No,235,87.36%,5,2.13%,230,97.87%,
Recent UTI,Yes,33,12.27%,0,0.0%,33,100.0%,
Recent UTI,No,233,86.62%,5,2.15%,228,97.85%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,3,10.71%,25,89.29%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
VUR (most recent test,Yes,44,16.36%,3,6.82%,41,93.18%,
VUR (most recent test,No,225,83.64%,2,0.89%,223,99.11%,
Etiology,Myelomeningocele,154,57.25%,2,1.3%,152,98.7%,
Etiology,Fatt,47,17.47%,3,6.38%,44,93.62%,
Etiology,Other,68,25.28%,0,0.0%,68,100.0%,
Sum,Sum,269,100.0%,5,1.86%,264,98.14%,
