,,Overall,,Col IS: Ciprofloxacin
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,28,,241
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,4,7.84%,47,92.16%,
Age,6 to <11,74,27.51%,5,6.76%,69,93.24%,
Age,11 to <15,58,21.56%,9,15.52%,49,84.48%,
Age,15 to <18,32,11.9%,3,9.38%,29,90.63%,
Age,18 and older,43,15.99%,7,16.28%,36,83.72%,
Sex,Female,144,53.53%,19,13.19%,125,86.81%,
Sex,Male,125,46.47%,9,7.2%,116,92.8%,
Race,White,145,53.9%,11,7.59%,134,92.41%,
Race,Black/African,28,10.41%,4,14.29%,24,85.71%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,13,15.48%,71,84.52%,
Ethnicity/Race,Hispanic,85,31.6%,13,15.29%,72,84.71%,
Ethnicity/Race,nonHispanic,184,68.4%,15,8.15%,169,91.85%,
Circumcision,Circumcised,19,7.06%,2,10.53%,17,89.47%,
Circumcision,Uncircumcised,33,12.27%,1,3.03%,32,96.97%,
Circumcision,Unknown,73,27.14%,6,8.22%,67,91.78%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,18,10.65%,151,89.35%,
Hydronephrosis (Most Recent Test,No,77,28.62%,7,9.09%,70,90.91%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,3,13.04%,20,86.96%,
Hx Augmentation,Yes,24,8.92%,4,16.67%,20,83.33%,
Hx Augmentation,No,245,91.08%,24,9.8%,221,90.2%,
Hx Catheterizable Channel,Yes,34,12.64%,3,8.82%,31,91.18%,
Hx Catheterizable Channel,No,235,87.36%,25,10.64%,210,89.36%,
Recent UTI,Yes,33,12.27%,3,9.09%,30,90.91%,
Recent UTI,No,233,86.62%,23,9.87%,210,90.13%,
Recent UTI,Unknown,3,1.12%,2,66.67%,1,33.33%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,3,10.71%,25,89.29%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
VUR (most recent test,Yes,44,16.36%,4,9.09%,40,90.91%,
VUR (most recent test,No,225,83.64%,24,10.67%,201,89.33%,
Etiology,Myelomeningocele,154,57.25%,13,8.44%,141,91.56%,
Etiology,Fatt,47,17.47%,7,14.89%,40,85.11%,
Etiology,Other,68,25.28%,8,11.76%,60,88.24%,
Sum,Sum,269,100.0%,28,10.41%,241,89.59%,
