,,Overall,,Col HX: If Culture
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,11,,7,,4
Age,<1yr,11,100.0%,5,45.45%,6,54.55%,
Age,1 to <6,51,463.64%,29,56.86%,22,43.14%,
Age,6 to <11,74,672.73%,57,77.03%,17,22.97%,
Age,11 to <15,58,527.27%,52,89.66%,6,10.34%,
Age,15 to <18,32,290.91%,29,90.63%,3,9.38%,
Age,18 and older,43,390.91%,35,81.4%,8,18.6%,
Sex,Female,144,1309.09%,118,81.94%,26,18.06%,
Sex,Male,125,1136.36%,89,71.2%,36,28.8%,
Circumcision,Circumcised,19,172.73%,16,84.21%,3,15.79%,
Circumcision,Uncircumcised,33,300.0%,18,54.55%,15,45.45%,
Circumcision,Unknown,73,663.64%,55,75.34%,18,24.66%,
Race,White,145,1318.18%,107,73.79%,38,26.21%,
Race,Black/African,28,254.55%,26,92.86%,2,7.14%,
Race,Asian,12,109.09%,7,58.33%,5,41.67%,
Race,Other,84,763.64%,67,79.76%,17,20.24%,
Ethnicity/Race,Hispanic,85,772.73%,68,80.0%,17,20.0%,
Ethnicity/Race,nonHispanic,184,1672.73%,139,75.54%,45,24.46%,
Etiology,Myelomeningocele,154,1400.0%,128,83.12%,26,16.88%,
Etiology,Fatt,47,427.27%,31,65.96%,16,34.04%,
Etiology,Other,68,618.18%,48,70.59%,20,29.41%,
Hx Augmentation,Yes,25,227.27%,23,92.0%,2,8.0%,
Hx Augmentation,No,244,2218.18%,184,75.41%,60,24.59%,
Hx Catheterizable Channel,Yes,34,309.09%,33,97.06%,1,2.94%,
Hx Catheterizable Channel,No,235,2136.36%,174,74.04%,61,25.96%,
Hx Surgery with bowel in urinary tract,Yes,42,381.82%,40,95.24%,2,4.76%,
Hx Surgery with bowel in urinary tract,No,227,2063.64%,167,73.57%,60,26.43%,
Immunosuppression,Yes,8,72.73%,6,75.0%,2,25.0%,
Immunosuppression,No,261,2372.73%,201,77.01%,60,22.99%,
Overnight Foley,Yes,29,263.64%,24,82.76%,5,17.24%,
Overnight Foley,No,240,2181.82%,183,76.25%,57,23.75%,
Recent UTI,Yes,33,300.0%,24,72.73%,9,27.27%,
Recent UTI,No,233,2118.18%,180,77.25%,53,22.75%,
Recent UTI,Unknown,3,27.27%,3,100.0%,0,0.0%,
VUR (most recent test),Yes,44,400.0%,32,72.73%,12,27.27%,
VUR (most recent test),No,225,2045.45%,175,77.78%,50,22.22%,
VUR (grade of those with VUR),VUR grade I to II,15,136.36%,13,86.67%,2,13.33%,
VUR (grade of those with VUR),VUR grade III to V,28,254.55%,18,64.29%,10,35.71%,
VUR (grade of those with VUR),VUR grade unknown,1,9.09%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,900.0%,69,69.7%,30,30.3%,
Hydronephrosis (Most Recent Test),No,170,1545.45%,138,81.18%,32,18.82%,
Hydronephrosis (grade),mild,58,527.27%,39,67.24%,19,32.76%,
Hydronephrosis (grade),mild-moderate to moderate,30,272.73%,23,76.67%,7,23.33%,
Hydronephrosis (grade),moderate-severe to severe,11,100.0%,7,63.64%,4,36.36%,
