,,Overall,,Col IB: Enterococcus
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,12,,257
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,3,5.88%,48,94.12%,
Age,6 to <11,74,27.51%,5,6.76%,69,93.24%,
Age,11 to <15,58,21.56%,3,5.17%,55,94.83%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,6,4.17%,138,95.83%,
Sex,Male,125,46.47%,6,4.8%,119,95.2%,
Race,White,145,53.9%,12,8.28%,133,91.72%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,0,0.0%,84,100.0%,
Ethnicity/Race,Hispanic,85,31.6%,0,0.0%,85,100.0%,
Ethnicity/Race,nonHispanic,184,68.4%,12,6.52%,172,93.48%,
Circumcision,Circumcised,19,7.06%,1,5.26%,18,94.74%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,5,6.85%,68,93.15%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,7,4.14%,162,95.86%,
Hydronephrosis (Most Recent Test,No,77,28.62%,4,5.19%,73,94.81%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,1,4.35%,22,95.65%,
Hx Augmentation,Yes,24,8.92%,0,0.0%,24,100.0%,
Hx Augmentation,No,245,91.08%,12,4.9%,233,95.1%,
Hx Catheterizable Channel,Yes,34,12.64%,3,8.82%,31,91.18%,
Hx Catheterizable Channel,No,235,87.36%,9,3.83%,226,96.17%,
Recent UTI,Yes,33,12.27%,5,15.15%,28,84.85%,
Recent UTI,No,233,86.62%,6,2.58%,227,97.42%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
VUR (most recent test,Yes,44,16.36%,1,2.27%,43,97.73%,
VUR (most recent test,No,225,83.64%,11,4.89%,214,95.11%,
Etiology,Myelomeningocele,154,57.25%,5,3.25%,149,96.75%,
Etiology,Fatt,47,17.47%,1,2.13%,46,97.87%,
Etiology,Other,68,25.28%,6,8.82%,62,91.18%,
Sum,Sum,269,100.0%,12,4.46%,257,95.54%,
