,,Overall,,Col NI: Organism Not E.Coli
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,103,,166
Age,<1yr,11,4.09%,4,36.36%,7,63.64%,
Age,1 to <6,51,18.96%,12,23.53%,39,76.47%,
Age,6 to <11,74,27.51%,32,43.24%,42,56.76%,
Age,11 to <15,58,21.56%,23,39.66%,35,60.34%,
Age,15 to <18,32,11.9%,16,50.0%,16,50.0%,
Age,18 and older,43,15.99%,16,37.21%,27,62.79%,
Sex,Female,144,53.53%,48,33.33%,96,66.67%,
Sex,Male,125,46.47%,55,44.0%,70,56.0%,
Circumcision,Circumcised,19,7.06%,9,47.37%,10,52.63%,
Circumcision,Uncircumcised,33,12.27%,9,27.27%,24,72.73%,
Circumcision,Unknown,73,27.14%,37,50.68%,36,49.32%,
Race,White,145,53.9%,63,43.45%,82,56.55%,
Race,Black/African,28,10.41%,15,53.57%,13,46.43%,
Race,Asian,12,4.46%,3,25.0%,9,75.0%,
Race,Other,84,31.23%,22,26.19%,62,73.81%,
Ethnicity/Race,Hispanic,85,31.6%,20,23.53%,65,76.47%,
Ethnicity/Race,nonHispanic,184,68.4%,83,45.11%,101,54.89%,
Etiology,Myelomeningocele,154,57.25%,55,35.71%,99,64.29%,
Etiology,Fatt,47,17.47%,14,29.79%,33,70.21%,
Etiology,Other,68,25.28%,34,50.0%,34,50.0%,
Hx Augmentation,Yes,25,9.29%,15,60.0%,10,40.0%,
Hx Augmentation,No,244,90.71%,88,36.07%,156,63.93%,
Hx Catheterizable Channel,Yes,34,12.64%,27,79.41%,7,20.59%,
Hx Catheterizable Channel,No,235,87.36%,76,32.34%,159,67.66%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,29,69.05%,13,30.95%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,74,32.6%,153,67.4%,
Immunosuppression,Yes,8,2.97%,3,37.5%,5,62.5%,
Immunosuppression,No,261,97.03%,100,38.31%,161,61.69%,
Overnight Foley,Yes,29,10.78%,14,48.28%,15,51.72%,
Overnight Foley,No,240,89.22%,89,37.08%,151,62.92%,
Recent UTI,Yes,33,12.27%,16,48.48%,17,51.52%,
Recent UTI,No,233,86.62%,86,36.91%,147,63.09%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,30,41.67%,42,58.33%,
Antibiotic Prophylaxis,No,197,73.23%,73,37.06%,124,62.94%,
VUR (most recent test),Yes,44,16.36%,22,50.0%,22,50.0%,
VUR (most recent test),No,225,83.64%,81,36.0%,144,64.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,6,40.0%,9,60.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,15,53.57%,13,46.43%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,39,39.39%,60,60.61%,
Hydronephrosis (Most Recent Test),No,170,63.2%,64,37.65%,106,62.35%,
Hydronephrosis (grade),mild,58,21.56%,18,31.03%,40,68.97%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,14,46.67%,16,53.33%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,7,63.64%,4,36.36%,
Sum,Sum,269,100.0%,103,38.29%,166,61.71%,
