,,Overall,,Col IR: Resistance Ceftazidime
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,11,,258
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,1,1.96%,50,98.04%,
Age,6 to <11,74,27.51%,4,5.41%,70,94.59%,
Age,11 to <15,58,21.56%,2,3.45%,56,96.55%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,2,4.65%,41,95.35%,
Sex,Female,144,53.53%,5,3.47%,139,96.53%,
Sex,Male,125,46.47%,6,4.8%,119,95.2%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,2,6.06%,31,93.94%,
Circumcision,Unknown,73,27.14%,4,5.48%,69,94.52%,
Race,White,145,53.9%,4,2.76%,141,97.24%,
Race,Black/African,28,10.41%,4,14.29%,24,85.71%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,3,3.57%,81,96.43%,
Ethnicity/Race,Hispanic,85,31.6%,4,4.71%,81,95.29%,
Ethnicity/Race,nonHispanic,184,68.4%,7,3.8%,177,96.2%,
Etiology,Myelomeningocele,154,57.25%,6,3.9%,148,96.1%,
Etiology,Fatt,47,17.47%,0,0.0%,47,100.0%,
Etiology,Other,68,25.28%,5,7.35%,63,92.65%,
Hx Augmentation,Yes,25,9.29%,1,4.0%,24,96.0%,
Hx Augmentation,No,244,90.71%,10,4.1%,234,95.9%,
Hx Catheterizable Channel,Yes,34,12.64%,1,2.94%,33,97.06%,
Hx Catheterizable Channel,No,235,87.36%,10,4.26%,225,95.74%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,2,4.76%,40,95.24%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,9,3.96%,218,96.04%,
Immunosuppression,Yes,8,2.97%,1,12.5%,7,87.5%,
Immunosuppression,No,261,97.03%,10,3.83%,251,96.17%,
Overnight Foley,Yes,29,10.78%,2,6.9%,27,93.1%,
Overnight Foley,No,240,89.22%,9,3.75%,231,96.25%,
Recent UTI,Yes,33,12.27%,1,3.03%,32,96.97%,
Recent UTI,No,233,86.62%,8,3.43%,225,96.57%,
Recent UTI,Unknown,3,1.12%,2,66.67%,1,33.33%,
Antibiotic Prophylaxis,Yes,72,26.77%,2,2.78%,70,97.22%,
Antibiotic Prophylaxis,No,197,73.23%,9,4.57%,188,95.43%,
VUR (most recent test),Yes,44,16.36%,2,4.55%,42,95.45%,
VUR (most recent test),No,225,83.64%,9,4.0%,216,96.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,1,6.67%,14,93.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,5,5.05%,94,94.95%,
Hydronephrosis (Most Recent Test),No,170,63.2%,6,3.53%,164,96.47%,
Hydronephrosis (grade),mild,58,21.56%,1,1.72%,57,98.28%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,4,13.33%,26,86.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,11,4.09%,258,95.91%,
