,,Overall,,Col IK: Resistance Nitrofurantoin
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,36,,233
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,3,5.88%,48,94.12%,
Age,6 to <11,74,27.51%,7,9.46%,67,90.54%,
Age,11 to <15,58,21.56%,13,22.41%,45,77.59%,
Age,15 to <18,32,11.9%,4,12.5%,28,87.5%,
Age,18 and older,43,15.99%,8,18.6%,35,81.4%,
Sex,Female,144,53.53%,21,14.58%,123,85.42%,
Sex,Male,125,46.47%,15,12.0%,110,88.0%,
Circumcision,Circumcised,19,7.06%,2,10.53%,17,89.47%,
Circumcision,Uncircumcised,33,12.27%,3,9.09%,30,90.91%,
Circumcision,Unknown,73,27.14%,10,13.7%,63,86.3%,
Race,White,145,53.9%,22,15.17%,123,84.83%,
Race,Black/African,28,10.41%,4,14.29%,24,85.71%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,9,10.71%,75,89.29%,
Ethnicity/Race,Hispanic,85,31.6%,10,11.76%,75,88.24%,
Ethnicity/Race,nonHispanic,184,68.4%,26,14.13%,158,85.87%,
Etiology,Myelomeningocele,154,57.25%,22,14.29%,132,85.71%,
Etiology,Fatt,47,17.47%,2,4.26%,45,95.74%,
Etiology,Other,68,25.28%,12,17.65%,56,82.35%,
Hx Augmentation,Yes,25,9.29%,4,16.0%,21,84.0%,
Hx Augmentation,No,244,90.71%,32,13.11%,212,86.89%,
Hx Catheterizable Channel,Yes,34,12.64%,7,20.59%,27,79.41%,
Hx Catheterizable Channel,No,235,87.36%,29,12.34%,206,87.66%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,9,21.43%,33,78.57%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,27,11.89%,200,88.11%,
Immunosuppression,Yes,8,2.97%,2,25.0%,6,75.0%,
Immunosuppression,No,261,97.03%,34,13.03%,227,86.97%,
Overnight Foley,Yes,29,10.78%,6,20.69%,23,79.31%,
Overnight Foley,No,240,89.22%,30,12.5%,210,87.5%,
Recent UTI,Yes,33,12.27%,4,12.12%,29,87.88%,
Recent UTI,No,233,86.62%,31,13.3%,202,86.7%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,18,25.0%,54,75.0%,
Antibiotic Prophylaxis,No,197,73.23%,18,9.14%,179,90.86%,
VUR (most recent test),Yes,44,16.36%,12,27.27%,32,72.73%,
VUR (most recent test),No,225,83.64%,24,10.67%,201,89.33%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,5,33.33%,10,66.67%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,6,21.43%,22,78.57%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,12,12.12%,87,87.88%,
Hydronephrosis (Most Recent Test),No,170,63.2%,24,14.12%,146,85.88%,
Hydronephrosis (grade),mild,58,21.56%,6,10.34%,52,89.66%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,6,20.0%,24,80.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,36,13.38%,233,86.62%,
