
Col HX: If Culture

Description	pos	neg	Sum
<1:        	5	6	11
1 - <6     	29	22	51
6 - <11    	57	17	74
11 - <15   	52	6	58
15 - <18   	29	3	32
>18        	35	8	43
Female     	118	26	144
Male       	89	36	125
White      	107	38	145
Black      	26	2	28
Asian      	7	5	12
Other      	67	17	84
Hispanic   	68	17	85
nonHispa   	139	45	184
Circumci   	16	3	19
UnCircum   	18	15	33
Unknown    	55	18	73
Hydro No   	63	14	77
HydroYes   	128	41	169
HydroUnk   	16	7	23
AugmentY   	22	2	24
AugmentN   	185	60	245
CathY      	33	1	34
CathN      	174	61	235
UTI No     	180	53	233
UTI Yes    	24	9	33
UTI Unk    	3	0	3
VUR1-2     	13	2	15
VUR3-5     	18	10	28
VURunk     	1	0	1
VUR Yes    	32	12	44
VUR No     	175	50	225
Eti-Myel   	128	26	154
Eti-Fatt   	31	16	47
Eti-Othe   	48	20	68
Total      	207	62	269

Col HY: E.Coli

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	17	34	51
6 - <11    	25	49	74
11 - <15   	29	29	58
15 - <18   	13	19	32
>18        	19	24	43
Female     	70	74	144
Male       	34	91	125
White      	44	101	145
Black      	11	17	28
Asian      	4	8	12
Other      	45	39	84
Hispanic   	48	37	85
nonHispa   	56	128	184
Circumci   	7	12	19
UnCircum   	9	24	33
Unknown    	18	55	73
Hydro No   	34	43	77
HydroYes   	61	108	169
HydroUnk   	9	14	23
AugmentY   	8	16	24
AugmentN   	96	149	245
CathY      	6	28	34
CathN      	98	137	235
UTI No     	94	139	233
UTI Yes    	8	25	33
UTI Unk    	2	1	3
VUR1-2     	7	8	15
VUR3-5     	3	25	28
VURunk     	0	1	1
VUR Yes    	10	34	44
VUR No     	94	131	225
Eti-Myel   	73	81	154
Eti-Fatt   	17	30	47
Eti-Othe   	14	54	68
Total      	104	165	269

Col HZ: Proteus

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	0	51	51
6 - <11    	2	72	74
11 - <15   	1	57	58
15 - <18   	2	30	32
>18        	0	43	43
Female     	2	142	144
Male       	3	122	125
White      	3	142	145
Black      	0	28	28
Asian      	0	12	12
Other      	2	82	84
